antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'1472: SEED\nAND', '1436:\nSPREAD'})",frozenset({'1008:\nWATER'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1472: SEED\nAND', '1008:\nWATER'})",frozenset({'1436:\nSPREAD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1436:\nSPREAD', '1008:\nWATER'})",frozenset({'1472: SEED\nAND'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1472: SEED\nAND'}),"frozenset({'1436:\nSPREAD', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1436:\nSPREAD'}),"frozenset({'1472: SEED\nAND', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1008:\nWATER'}),"frozenset({'1472: SEED\nAND', '1436:\nSPREAD'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
"frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD'})",frozenset({'1008:\nWATER'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1436:\nSPREAD', '1008:\nWATER'})",frozenset({'1484:\nPET\nFOOD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1484:\nPET\nFOOD', '1008:\nWATER'})",frozenset({'1436:\nSPREAD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1436:\nSPREAD'}),"frozenset({'1484:\nPET\nFOOD', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1484:\nPET\nFOOD'}),"frozenset({'1436:\nSPREAD', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1008:\nWATER'}),"frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
"frozenset({'1472: SEED\nAND', '1462: SALT &\nSP'})",frozenset({'1008:\nWATER'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1472: SEED\nAND', '1008:\nWATER'})",frozenset({'1462: SALT &\nSP'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1462: SALT &\nSP', '1008:\nWATER'})",frozenset({'1472: SEED\nAND'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1472: SEED\nAND'}),"frozenset({'1462: SALT &\nSP', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1462: SALT &\nSP'}),"frozenset({'1472: SEED\nAND', '1008:\nWATER'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
frozenset({'1008:\nWATER'}),"frozenset({'1472: SEED\nAND', '1462: SALT &\nSP'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
"frozenset({'1462: SALT &\nSP', '1484:\nPET\nFOOD'})",frozenset({'1008:\nWATER'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1462: SALT &\nSP', '1008:\nWATER'})",frozenset({'1484:\nPET\nFOOD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1484:\nPET\nFOOD', '1008:\nWATER'})",frozenset({'1462: SALT &\nSP'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
frozenset({'1462: SALT &\nSP'}),"frozenset({'1484:\nPET\nFOOD', '1008:\nWATER'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
frozenset({'1484:\nPET\nFOOD'}),"frozenset({'1462: SALT &\nSP', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1008:\nWATER'}),"frozenset({'1462: SALT &\nSP', '1484:\nPET\nFOOD'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
"frozenset({'1472: SEED\nAND', '1484:\nPET\nFOOD'})",frozenset({'1008:\nWATER'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1472: SEED\nAND', '1008:\nWATER'})",frozenset({'1484:\nPET\nFOOD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1484:\nPET\nFOOD', '1008:\nWATER'})",frozenset({'1472: SEED\nAND'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1472: SEED\nAND'}),"frozenset({'1484:\nPET\nFOOD', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1484:\nPET\nFOOD'}),"frozenset({'1472: SEED\nAND', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1008:\nWATER'}),"frozenset({'1472: SEED\nAND', '1484:\nPET\nFOOD'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
"frozenset({'1213: HAIR\nSHAM', '1203:\nDEODORANT'})",frozenset({'1105:\nDeodorisa'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1213: HAIR\nSHAM', '1105:\nDeodorisa'})",frozenset({'1203:\nDEODORANT'}),0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
"frozenset({'1203:\nDEODORANT', '1105:\nDeodorisa'})",frozenset({'1213: HAIR\nSHAM'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
frozenset({'1213: HAIR\nSHAM'}),"frozenset({'1203:\nDEODORANT', '1105:\nDeodorisa'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
frozenset({'1203:\nDEODORANT'}),"frozenset({'1213: HAIR\nSHAM', '1105:\nDeodorisa'})",0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
frozenset({'1105:\nDeodorisa'}),"frozenset({'1213: HAIR\nSHAM', '1203:\nDEODORANT'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
"frozenset({'1472: SEED\nAND', '1436:\nSPREAD'})",frozenset({'1462: SALT &\nSP'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1472: SEED\nAND', '1462: SALT &\nSP'})",frozenset({'1436:\nSPREAD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP'})",frozenset({'1472: SEED\nAND'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1472: SEED\nAND'}),"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1436:\nSPREAD'}),"frozenset({'1472: SEED\nAND', '1462: SALT &\nSP'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1462: SALT &\nSP'}),"frozenset({'1472: SEED\nAND', '1436:\nSPREAD'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP'})",frozenset({'1484:\nPET\nFOOD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD'})",frozenset({'1462: SALT &\nSP'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1462: SALT &\nSP', '1484:\nPET\nFOOD'})",frozenset({'1436:\nSPREAD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1436:\nSPREAD'}),"frozenset({'1462: SALT &\nSP', '1484:\nPET\nFOOD'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1462: SALT &\nSP'}),"frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
frozenset({'1484:\nPET\nFOOD'}),"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1472: SEED\nAND', '1436:\nSPREAD'})",frozenset({'1484:\nPET\nFOOD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1472: SEED\nAND', '1484:\nPET\nFOOD'})",frozenset({'1436:\nSPREAD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD'})",frozenset({'1472: SEED\nAND'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1472: SEED\nAND'}),"frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1436:\nSPREAD'}),"frozenset({'1472: SEED\nAND', '1484:\nPET\nFOOD'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1484:\nPET\nFOOD'}),"frozenset({'1472: SEED\nAND', '1436:\nSPREAD'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1472: SEED\nAND', '1462: SALT &\nSP'})",frozenset({'1484:\nPET\nFOOD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1472: SEED\nAND', '1484:\nPET\nFOOD'})",frozenset({'1462: SALT &\nSP'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1462: SALT &\nSP', '1484:\nPET\nFOOD'})",frozenset({'1472: SEED\nAND'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1472: SEED\nAND'}),"frozenset({'1462: SALT &\nSP', '1484:\nPET\nFOOD'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1462: SALT &\nSP'}),"frozenset({'1472: SEED\nAND', '1484:\nPET\nFOOD'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
frozenset({'1484:\nPET\nFOOD'}),"frozenset({'1472: SEED\nAND', '1462: SALT &\nSP'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1472: SEED\nAND', '1436:\nSPREAD', '1462: SALT &\nSP'})",frozenset({'1008:\nWATER'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1472: SEED\nAND', '1436:\nSPREAD', '1008:\nWATER'})",frozenset({'1462: SALT &\nSP'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1472: SEED\nAND', '1462: SALT &\nSP', '1008:\nWATER'})",frozenset({'1436:\nSPREAD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP', '1008:\nWATER'})",frozenset({'1472: SEED\nAND'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1472: SEED\nAND', '1436:\nSPREAD'})","frozenset({'1462: SALT &\nSP', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1472: SEED\nAND', '1462: SALT &\nSP'})","frozenset({'1436:\nSPREAD', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1472: SEED\nAND', '1008:\nWATER'})","frozenset({'1436:\nSPREAD', '1462: SALT &\nSP'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP'})","frozenset({'1472: SEED\nAND', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1436:\nSPREAD', '1008:\nWATER'})","frozenset({'1472: SEED\nAND', '1462: SALT &\nSP'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1462: SALT &\nSP', '1008:\nWATER'})","frozenset({'1472: SEED\nAND', '1436:\nSPREAD'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1472: SEED\nAND'}),"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1436:\nSPREAD'}),"frozenset({'1472: SEED\nAND', '1462: SALT &\nSP', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1462: SALT &\nSP'}),"frozenset({'1472: SEED\nAND', '1436:\nSPREAD', '1008:\nWATER'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
frozenset({'1008:\nWATER'}),"frozenset({'1472: SEED\nAND', '1436:\nSPREAD', '1462: SALT &\nSP'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP', '1484:\nPET\nFOOD'})",frozenset({'1008:\nWATER'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP', '1008:\nWATER'})",frozenset({'1484:\nPET\nFOOD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD', '1008:\nWATER'})",frozenset({'1462: SALT &\nSP'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1462: SALT &\nSP', '1484:\nPET\nFOOD', '1008:\nWATER'})",frozenset({'1436:\nSPREAD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP'})","frozenset({'1484:\nPET\nFOOD', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD'})","frozenset({'1462: SALT &\nSP', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1436:\nSPREAD', '1008:\nWATER'})","frozenset({'1462: SALT &\nSP', '1484:\nPET\nFOOD'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1462: SALT &\nSP', '1484:\nPET\nFOOD'})","frozenset({'1436:\nSPREAD', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1462: SALT &\nSP', '1008:\nWATER'})","frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1484:\nPET\nFOOD', '1008:\nWATER'})","frozenset({'1436:\nSPREAD', '1462: SALT &\nSP'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1436:\nSPREAD'}),"frozenset({'1462: SALT &\nSP', '1484:\nPET\nFOOD', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1462: SALT &\nSP'}),"frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD', '1008:\nWATER'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
frozenset({'1484:\nPET\nFOOD'}),"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1008:\nWATER'}),"frozenset({'1436:\nSPREAD', '1462: SALT &\nSP', '1484:\nPET\nFOOD'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
"frozenset({'1472: SEED\nAND', '1436:\nSPREAD', '1484:\nPET\nFOOD'})",frozenset({'1008:\nWATER'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
"frozenset({'1472: SEED\nAND', '1436:\nSPREAD', '1008:\nWATER'})",frozenset({'1484:\nPET\nFOOD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1472: SEED\nAND', '1484:\nPET\nFOOD', '1008:\nWATER'})",frozenset({'1436:\nSPREAD'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD', '1008:\nWATER'})",frozenset({'1472: SEED\nAND'}),0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1472: SEED\nAND', '1436:\nSPREAD'})","frozenset({'1484:\nPET\nFOOD', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1472: SEED\nAND', '1484:\nPET\nFOOD'})","frozenset({'1436:\nSPREAD', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1472: SEED\nAND', '1008:\nWATER'})","frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD'})","frozenset({'1472: SEED\nAND', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1436:\nSPREAD', '1008:\nWATER'})","frozenset({'1472: SEED\nAND', '1484:\nPET\nFOOD'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
"frozenset({'1484:\nPET\nFOOD', '1008:\nWATER'})","frozenset({'1472: SEED\nAND', '1436:\nSPREAD'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1472: SEED\nAND'}),"frozenset({'1436:\nSPREAD', '1484:\nPET\nFOOD', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1436:\nSPREAD'}),"frozenset({'1472: SEED\nAND', '1484:\nPET\nFOOD', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1484:\nPET\nFOOD'}),"frozenset({'1472: SEED\nAND', '1436:\nSPREAD', '1008:\nWATER'})",0.02564102564102564,0.02564102564102564,0.02564102564102564,1.0,39.0,0.024983563445101907,inf
frozenset({'1008:\nWATER'}),"frozenset({'1472: SEED\nAND', '1436:\nSPREAD', '1484:\nPET\nFOOD'})",0.038461538461538464,0.02564102564102564,0.02564102564102564,0.6666666666666666,26.0,0.024654832347140037,2.923076923076923
"frozenset({'1472: SEED\nAND', '1462: SALT &\nSP', '1484:\nPET\nFOOD'})",frozenset({'1008:\nWATER'}),0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,26.0,0.024654832347140037,inf
